Mapped_sgRNA_sequence	Chrom	Start	End	Strand
4|sgSLC25A21_3|SLC25A21	chr14	36725614	36725634	+
4|sgSLC25A21_2|SLC25A21	chr14	36874968	36874988	-
4|sgMIPOL1_2|MIPOL1	chr14	37268706	37268726	-
4|sgMIPOL1_4|MIPOL1	chr14	37285372	37285392	+
4|sgMIPOL1_3|MIPOL1	chr14	37308425	37308445	+
4|sgMIPOL1_1|MIPOL1	chr14	37308511	37308531	-
4|sgFOXA1_2|FOXA1	chr14	37591882	37591902	+
4|sgFOXA1_3|FOXA1	chr14	37592036	37592056	+
4|sgFOXA1_4|FOXA1	chr14	37592344	37592364	+
4|sgFOXA1_1|FOXA1	chr14	37592571	37592591	-
4|sgTTC6_2|TTC6	chr14	37804757	37804777	+
4|sgTTC6_3|TTC6	chr14	37804778	37804798	+
4|sgTTC6_4|TTC6	chr14	37812377	37812397	-
4|sgTTC6_1|TTC6	chr14	37827302	37827322	-
4|sgSSTR1_1|SSTR1	chr14	38209527	38209547	+
4|sgSSTR1_4|SSTR1	chr14	38209905	38209925	+
4|sgSSTR1_3|SSTR1	chr14	38209964	38209984	+
4|sgSSTR1_2|SSTR1	chr14	38210126	38210146	+
4|sgCLEC14A_1|CLEC14A	chr14	38255151	38255171	+
4|sgCLEC14A_3|CLEC14A	chr14	38255340	38255360	-
4|sgCLEC14A_2|CLEC14A	chr14	38255584	38255604	+
4|sgCLEC14A_4|CLEC14A	chr14	38255884	38255904	-
4|sgSEC23A_1|SEC23A	chr14	39061803	39061823	-
4|sgSEC23A_4|SEC23A	chr14	39085789	39085809	+
4|sgSEC23A_2|SEC23A	chr14	39086964	39086984	-
4|sgSEC23A_3|SEC23A	chr14	39092601	39092621	+
4|sgGEMIN2_3|GEMIN2	chr14	39114423	39114443	+
4|sgGEMIN2_2|GEMIN2	chr14	39118577	39118597	+
4|sgGEMIN2_4|GEMIN2	chr14	39122473	39122493	+
4|sgGEMIN2_1|GEMIN2	chr14	39125003	39125023	-
4|sgTRAPPC6B_3|TRAPPC6B	chr14	39158383	39158403	-
4|sgTRAPPC6B_2|TRAPPC6B	chr14	39159503	39159523	-
4|sgTRAPPC6B_4|TRAPPC6B	chr14	39170031	39170051	-
4|sgTRAPPC6B_1|TRAPPC6B	chr14	39170043	39170063	+
4|sgPNN_3|PNN	chr14	39176127	39176147	+
4|sgPNN_4|PNN	chr14	39177441	39177461	+
4|sgPNN_1|PNN	chr14	39180863	39180883	+
4|sgPNN_2|PNN	chr14	39181049	39181069	+
4|sgMIA2_2|MIA2	chr14	39247229	39247249	+
4|sgMIA2_3|MIA2	chr14	39247585	39247605	-
4|sgMIA2_1|MIA2	chr14	39247699	39247719	-
4|sgCTAGE5_1|CTAGE5	chr14	39279325	39279345	+
4|sgCTAGE5_3|CTAGE5	chr14	39293983	39294003	+
4|sgCTAGE5_4|CTAGE5	chr14	39299964	39299984	+
4|sgFBXO33_2|FBXO33	chr14	39401713	39401733	+
4|sgFBXO33_1|FBXO33	chr14	39402428	39402448	-
4|sgFBXO33_4|FBXO33	chr14	39431709	39431729	+
4|sgFBXO33_3|FBXO33	chr14	39431837	39431857	+
4|sgLRFN5_1|LRFN5	chr14	41886773	41886793	+
4|sgLRFN5_2|LRFN5	chr14	41886918	41886938	-
4|sgLRFN5_3|LRFN5	chr14	41887169	41887189	+
4|sgLRFN5_4|LRFN5	chr14	41887486	41887506	-
4|sgFSCB_3|FSCB	chr14	44505941	44505961	+
4|sgFSCB_2|FSCB	chr14	44506154	44506174	+
4|sgFSCB_4|FSCB	chr14	44506289	44506309	+
4|sgFSCB_1|FSCB	chr14	44506713	44506733	-
4|sgDDA1_2|DDA1	chr14	44887554	44887574	-
4|sgDDA1_3|DDA1	chr14	44887557	44887577	+
4|sgC14orf28_3|C14orf28	chr14	44900519	44900539	-
4|sgC14orf28_1|C14orf28	chr14	44900665	44900685	-
4|sgC14orf28_4|C14orf28	chr14	44900904	44900924	-
4|sgC14orf28_2|C14orf28	chr14	44903224	44903244	+
4|sgKLHL28_2|KLHL28	chr14	44934489	44934509	+
4|sgKLHL28_1|KLHL28	chr14	44945227	44945247	+
4|sgKLHL28_4|KLHL28	chr14	44945643	44945663	-
4|sgKLHL28_3|KLHL28	chr14	44945806	44945826	-
4|sgFAM179B_2|FAM179B	chr14	44995772	44995792	+
4|sgFAM179B_4|FAM179B	chr14	45004073	45004093	-
4|sgFAM179B_3|FAM179B	chr14	45006030	45006050	-
4|sgFAM179B_1|FAM179B	chr14	45009007	45009027	+
4|sgPRPF39_4|PRPF39	chr14	45096875	45096895	+
4|sgPRPF39_1|PRPF39	chr14	45102563	45102583	+
4|sgPRPF39_2|PRPF39	chr14	45107583	45107603	-
4|sgPRPF39_3|PRPF39	chr14	45109701	45109721	+
4|sgFKBP3_1|FKBP3	chr14	45121515	45121535	-
4|sgFKBP3_4|FKBP3	chr14	45129781	45129801	+
4|sgFKBP3_3|FKBP3	chr14	45130715	45130735	+
4|sgFKBP3_2|FKBP3	chr14	45134350	45134370	-
4|sgFANCM_3|FANCM	chr14	45137133	45137153	-
4|sgFANCM_2|FANCM	chr14	45153921	45153941	+
4|sgFANCM_4|FANCM	chr14	45164375	45164395	+
4|sgFANCM_1|FANCM	chr14	45176723	45176743	-
4|sgMIS18BP1_1|MIS18BP1	chr14	45231150	45231170	+
4|sgMIS18BP1_2|MIS18BP1	chr14	45235901	45235921	-
4|sgMIS18BP1_3|MIS18BP1	chr14	45242114	45242134	-
4|sgMIS18BP1_4|MIS18BP1	chr14	45247042	45247062	-
4|sgRPL10L_3|RPL10L	chr14	46651350	46651370	+
4|sgRPL10L_4|RPL10L	chr14	46651514	46651534	+
4|sgRPL10L_2|RPL10L	chr14	46651593	46651613	-
4|sgRPL10L_1|RPL10L	chr14	46651663	46651683	-
4|sgMDGA2_2|MDGA2	chr14	46957547	46957567	-
4|sgMDGA2_4|MDGA2	chr14	47144079	47144099	-
4|sgMDGA2_1|MDGA2	chr14	47218097	47218117	-
4|sgMDGA2_3|MDGA2	chr14	47301462	47301482	-
1|Neg_Control_Human_GA_0454|NegCtrl	chr14	47757411	47757431	+
4|sgRPS29_1|RPS29	chr14	49586018	49586038	-
4|sgRPS29_2|RPS29	chr14	49586028	49586048	-
4|sgRPS29_3|RPS29	chr14	49586279	49586299	+
4|sgLRR1_2|LRR1	chr14	49599146	49599166	-
4|sgRHOQ_4|RHOQ	chr14	49600079	49600099	+
4|sgLRR1_3|LRR1	chr14	49602444	49602464	-
4|sgLRR1_4|LRR1	chr14	49607432	49607452	+
4|sgLRR1_1|LRR1	chr14	49607620	49607640	-
4|sgRPL36AL_4|RPL36AL	chr14	49618978	49618998	-
4|sgRPL36AL_2|RPL36AL	chr14	49618997	49619017	-
4|sgMGAT2_3|MGAT2	chr14	49621351	49621371	+
4|sgMGAT2_4|MGAT2	chr14	49621636	49621656	-
4|sgMGAT2_2|MGAT2	chr14	49621744	49621764	+
4|sgMGAT2_1|MGAT2	chr14	49621918	49621938	+
4|sgDNAAF2_3|DNAAF2	chr14	49633653	49633673	-
4|sgDNAAF2_1|DNAAF2	chr14	49633817	49633837	-
4|sgDNAAF2_4|DNAAF2	chr14	49633966	49633986	-
4|sgDNAAF2_2|DNAAF2	chr14	49634203	49634223	+
4|sgPOLE2_2|POLE2	chr14	49663308	49663328	+
4|sgPOLE2_4|POLE2	chr14	49665119	49665139	+
4|sgPOLE2_3|POLE2	chr14	49669545	49669565	+
4|sgPOLE2_1|POLE2	chr14	49679773	49679793	-
4|sgKLHDC1_2|KLHDC1	chr14	49693255	49693275	+
4|sgKLHDC1_4|KLHDC1	chr14	49710346	49710366	-
4|sgKLHDC1_1|KLHDC1	chr14	49728953	49728973	-
4|sgKLHDC1_3|KLHDC1	chr14	49729511	49729531	+
4|sgKLHDC2_4|KLHDC2	chr14	49768518	49768538	+
4|sgKLHDC2_1|KLHDC2	chr14	49771637	49771657	+
4|sgKLHDC2_2|KLHDC2	chr14	49777860	49777880	+
4|sgKLHDC2_3|KLHDC2	chr14	49779770	49779790	+
4|sgNEMF_2|NEMF	chr14	49814755	49814775	-
4|sgNEMF_1|NEMF	chr14	49833428	49833448	-
4|sgNEMF_3|NEMF	chr14	49838159	49838179	-
4|sgNEMF_4|NEMF	chr14	49846218	49846238	-
4|sgARF6_2|ARF6	chr14	49893857	49893877	-
4|sgARF6_3|ARF6	chr14	49893952	49893972	-
4|sgARF6_4|ARF6	chr14	49894014	49894034	-
4|sgARF6_1|ARF6	chr14	49894020	49894040	-
4|sgC14orf182_4|C14orf182	chr14	49992803	49992823	+
4|sgC14orf182_1|C14orf182	chr14	50005683	50005703	-
4|sgC14orf182_3|C14orf182	chr14	50005790	50005810	-
4|sgC14orf183_4|C14orf183	chr14	50083785	50083805	+
4|sgC14orf183_2|C14orf183	chr14	50085155	50085175	-
4|sgC14orf183_3|C14orf183	chr14	50085159	50085179	+
4|sgC14orf183_1|C14orf183	chr14	50092612	50092632	-
4|sgVCPKMT_2|VCPKMT	chr14	50115860	50115880	+
4|sgVCPKMT_3|VCPKMT	chr14	50116270	50116290	+
4|sgVCPKMT_4|VCPKMT	chr14	50116425	50116445	-
4|sgVCPKMT_1|VCPKMT	chr14	50116497	50116517	+
4|sgSOS2_2|SOS2	chr14	50156993	50157013	+
4|sgSOS2_4|SOS2	chr14	50159480	50159500	-
4|sgSOS2_3|SOS2	chr14	50159914	50159934	-
4|sgSOS2_1|SOS2	chr14	50174487	50174507	+
4|sgL2HGDH_2|L2HGDH	chr14	50269160	50269180	-
4|sgL2HGDH_1|L2HGDH	chr14	50302080	50302100	-
4|sgL2HGDH_4|L2HGDH	chr14	50302980	50303000	-
4|sgL2HGDH_3|L2HGDH	chr14	50312054	50312074	-
4|sgATP5S_4|ATP5S	chr14	50321521	50321541	+
4|sgATP5S_2|ATP5S	chr14	50322510	50322530	+
4|sgATP5S_1|ATP5S	chr14	50322683	50322703	-
4|sgATP5S_3|ATP5S	chr14	50323975	50323995	+
4|sgCDKL1_1|CDKL1	chr14	50341123	50341143	+
4|sgCDKL1_4|CDKL1	chr14	50341202	50341222	-
4|sgCDKL1_2|CDKL1	chr14	50359064	50359084	+
4|sgCDKL1_3|CDKL1	chr14	50395702	50395722	-
4|sgMAP4K5_3|MAP4K5	chr14	50440378	50440398	-
4|sgMAP4K5_4|MAP4K5	chr14	50456571	50456591	+
4|sgMAP4K5_1|MAP4K5	chr14	50468639	50468659	+
4|sgMAP4K5_2|MAP4K5	chr14	50485606	50485626	-
4|sgATL1_1|ATL1	chr14	50587954	50587974	+
4|sgATL1_4|ATL1	chr14	50591601	50591621	-
4|sgATL1_3|ATL1	chr14	50620684	50620704	+
4|sgATL1_2|ATL1	chr14	50623187	50623207	+
4|sgSAV1_1|SAV1	chr14	50644871	50644891	-
4|sgSAV1_3|SAV1	chr14	50644948	50644968	+
4|sgSAV1_4|SAV1	chr14	50665447	50665467	+
4|sgSAV1_2|SAV1	chr14	50665594	50665614	-
4|sgNIN_2|NIN	chr14	50766365	50766385	+
4|sgNIN_4|NIN	chr14	50771431	50771451	+
4|sgNIN_3|NIN	chr14	50778782	50778802	-
4|sgABHD12B_3|ABHD12B	chr14	50880520	50880540	-
4|sgABHD12B_2|ABHD12B	chr14	50885637	50885657	+
4|sgABHD12B_4|ABHD12B	chr14	50885820	50885840	+
4|sgABHD12B_1|ABHD12B	chr14	50888830	50888850	-
4|sgPYGL_1|PYGL	chr14	50915850	50915870	+
4|sgPYGL_4|PYGL	chr14	50920543	50920563	+
4|sgPYGL_3|PYGL	chr14	50944238	50944258	+
4|sgTRIM9_1|TRIM9	chr14	51009196	51009216	-
4|sgTRIM9_3|TRIM9	chr14	51025323	51025343	-
4|sgTRIM9_2|TRIM9	chr14	51094556	51094576	+
4|sgTRIM9_4|TRIM9	chr14	51094678	51094698	+
4|sgTMX1_2|TMX1	chr14	51240350	51240370	+
4|sgTMX1_3|TMX1	chr14	51243845	51243865	+
4|sgTMX1_4|TMX1	chr14	51249349	51249369	+
4|sgTMX1_1|TMX1	chr14	51249489	51249509	+
4|sgFRMD6_1|FRMD6	chr14	51704914	51704934	-
4|sgFRMD6_4|FRMD6	chr14	51711555	51711575	+
4|sgFRMD6_3|FRMD6	chr14	51715367	51715387	+
4|sgFRMD6_2|FRMD6	chr14	51720109	51720129	+
4|sgGNG2_2|GNG2	chr14	51950694	51950714	+
4|sgGNG2_3|GNG2	chr14	51950697	51950717	-
4|sgGNG2_1|GNG2	chr14	51950736	51950756	+
4|sgGNG2_4|GNG2	chr14	51966587	51966607	+
4|sgC14orf166_2|C14orf166	chr14	51989678	51989698	+
4|sgC14orf166_4|C14orf166	chr14	51993746	51993766	-
4|sgC14orf166_3|C14orf166	chr14	51998558	51998578	+
4|sgC14orf166_1|C14orf166	chr14	51999783	51999803	-
4|sgNID2_4|NID2	chr14	52029624	52029644	+
4|sgNID2_3|NID2	chr14	52042254	52042274	-
4|sgNID2_2|NID2	chr14	52053613	52053633	-
4|sgNID2_1|NID2	chr14	52068750	52068770	+
4|sgPTGDR_4|PTGDR	chr14	52267852	52267872	+
4|sgPTGDR_2|PTGDR	chr14	52268109	52268129	-
4|sgPTGDR_3|PTGDR	chr14	52268236	52268256	-
4|sgPTGDR_1|PTGDR	chr14	52268295	52268315	-
4|sgPTGER2_3|PTGER2	chr14	52314655	52314675	+
4|sgPTGER2_1|PTGER2	chr14	52314739	52314759	-
4|sgPTGER2_2|PTGER2	chr14	52314808	52314828	-
4|sgPTGER2_4|PTGER2	chr14	52314915	52314935	-
4|sgTXNDC16_2|TXNDC16	chr14	52470553	52470573	-
4|sgTXNDC16_3|TXNDC16	chr14	52490925	52490945	+
4|sgTXNDC16_4|TXNDC16	chr14	52514926	52514946	+
4|sgTXNDC16_1|TXNDC16	chr14	52537637	52537657	-
4|sgGPR137C_2|GPR137C	chr14	52553322	52553342	-
4|sgGPR137C_3|GPR137C	chr14	52553447	52553467	+
4|sgGPR137C_1|GPR137C	chr14	52600148	52600168	-
4|sgGPR137C_4|GPR137C	chr14	52632167	52632187	+
4|sgERO1L_4|ERO1L	chr14	52663796	52663816	+
4|sgERO1L_3|ERO1L	chr14	52666428	52666448	-
4|sgERO1L_2|ERO1L	chr14	52671796	52671816	-
4|sgERO1L_1|ERO1L	chr14	52682313	52682333	+
4|sgPSMC6_3|PSMC6	chr14	52707267	52707287	+
4|sgPSMC6_1|PSMC6	chr14	52711463	52711483	-
4|sgPSMC6_2|PSMC6	chr14	52718964	52718984	+
4|sgSTYX_4|STYX	chr14	52730510	52730530	-
4|sgSTYX_3|STYX	chr14	52746437	52746457	-
4|sgSTYX_2|STYX	chr14	52757333	52757353	+
4|sgSTYX_1|STYX	chr14	52757881	52757901	-
4|sgGNPNAT1_1|GNPNAT1	chr14	52781771	52781791	+
4|sgGNPNAT1_3|GNPNAT1	chr14	52781884	52781904	-
4|sgGNPNAT1_4|GNPNAT1	chr14	52783451	52783471	-
4|sgFERMT2_3|FERMT2	chr14	52875244	52875264	-
4|sgFERMT2_2|FERMT2	chr14	52881403	52881423	+
4|sgFERMT2_1|FERMT2	chr14	52950456	52950476	-
4|sgDDHD1_1|DDHD1	chr14	53091904	53091924	-
4|sgDDHD1_2|DDHD1	chr14	53103831	53103851	-
4|sgDDHD1_3|DDHD1	chr14	53152372	53152392	-
4|sgDDHD1_4|DDHD1	chr14	53152784	53152804	-
4|sgBMP4_1|BMP4	chr14	53950479	53950499	-
4|sgBMP4_3|BMP4	chr14	53950562	53950582	-
4|sgBMP4_4|BMP4	chr14	53950628	53950648	-
4|sgBMP4_2|BMP4	chr14	53950711	53950731	+
4|sgCDKN3_1|CDKN3	chr14	54399954	54399974	+
4|sgCDKN3_4|CDKN3	chr14	54411479	54411499	+
4|sgCDKN3_3|CDKN3	chr14	54411566	54411586	+
4|sgCDKN3_2|CDKN3	chr14	54411603	54411623	+
4|sgCNIH1_2|CNIH1	chr14	54432110	54432130	+
4|sgCNIH1_4|CNIH1	chr14	54432146	54432166	-
4|sgCNIH1_1|CNIH1	chr14	54432174	54432194	+
4|sgCNIH1_3|CNIH1	chr14	54436367	54436387	+
4|sgGMFB_1|GMFB	chr14	54480881	54480901	+
4|sgGMFB_3|GMFB	chr14	54480920	54480940	-
4|sgGMFB_2|GMFB	chr14	54481439	54481459	+
4|sgGMFB_4|GMFB	chr14	54482175	54482195	-
4|sgCGRRF1_2|CGRRF1	chr14	54510051	54510071	-
4|sgCGRRF1_4|CGRRF1	chr14	54530083	54530103	+
4|sgCGRRF1_3|CGRRF1	chr14	54530352	54530372	-
4|sgCGRRF1_1|CGRRF1	chr14	54530996	54531016	-
4|sgSAMD4A_2|SAMD4A	chr14	54702109	54702129	-
4|sgSAMD4A_4|SAMD4A	chr14	54702412	54702432	+
4|sgSAMD4A_1|SAMD4A	chr14	54760151	54760171	+
4|sgSAMD4A_3|SAMD4A	chr14	54760287	54760307	-
4|sgGCH1_3|GCH1	chr14	54865382	54865402	-
4|sgGCH1_1|GCH1	chr14	54902396	54902416	-
4|sgGCH1_2|GCH1	chr14	54902579	54902599	-
4|sgGCH1_4|GCH1	chr14	54902638	54902658	-
4|sgWDHD1_2|WDHD1	chr14	54981631	54981651	-
4|sgWDHD1_1|WDHD1	chr14	54989029	54989049	-
4|sgWDHD1_3|WDHD1	chr14	55000590	55000610	-
4|sgWDHD1_4|WDHD1	chr14	55008333	55008353	-
4|sgSOCS4_2|SOCS4	chr14	55043114	55043134	+
4|sgSOCS4_3|SOCS4	chr14	55043449	55043469	-
4|sgSOCS4_4|SOCS4	chr14	55043626	55043646	-
4|sgSOCS4_1|SOCS4	chr14	55043732	55043752	-
4|sgMAPK1IP1L_2|MAPK1IP1L	chr14	55062716	55062736	-
4|sgMAPK1IP1L_1|MAPK1IP1L	chr14	55062875	55062895	+
4|sgMAPK1IP1L_4|MAPK1IP1L	chr14	55062934	55062954	-
4|sgMAPK1IP1L_3|MAPK1IP1L	chr14	55062980	55063000	-
4|sgLGALS3_3|LGALS3	chr14	55138246	55138266	+
4|sgLGALS3_4|LGALS3	chr14	55138299	55138319	+
4|sgLGALS3_2|LGALS3	chr14	55140272	55140292	-
4|sgLGALS3_1|LGALS3	chr14	55140316	55140336	-
4|sgDLGAP5_3|DLGAP5	chr14	55169459	55169479	-
4|sgDLGAP5_1|DLGAP5	chr14	55175901	55175921	+
4|sgDLGAP5_4|DLGAP5	chr14	55181262	55181282	-
4|sgDLGAP5_2|DLGAP5	chr14	55183647	55183667	-
4|sgCHMP4B_4|CHMP4B	chr14	55298863	55298883	+
4|sgFBXO34_3|FBXO34	chr14	55350592	55350612	+
4|sgFBXO34_2|FBXO34	chr14	55351002	55351022	-
4|sgFBXO34_1|FBXO34	chr14	55351206	55351226	-
4|sgFBXO34_4|FBXO34	chr14	55351416	55351436	-
4|sgATG14_2|ATG14	chr14	55380651	55380671	+
4|sgATG14_4|ATG14	chr14	55382020	55382040	+
4|sgATG14_1|ATG14	chr14	55385860	55385880	-
1|Neg_Control_Human_GA_0494|NegCtrl	chr14	55402391	55402411	-
4|sgATG14_3|ATG14	chr14	55411640	55411660	-
4|sgTBPL2_3|TBPL2	chr14	55435900	55435920	+
4|sgTBPL2_4|TBPL2	chr14	55436743	55436763	-
4|sgTBPL2_2|TBPL2	chr14	55436846	55436866	-
4|sgTBPL2_1|TBPL2	chr14	55440448	55440468	-
4|sgKTN1_3|KTN1	chr14	55612291	55612311	-
4|sgKTN1_2|KTN1	chr14	55628006	55628026	+
4|sgKTN1_1|KTN1	chr14	55634545	55634565	+
4|sgKTN1_4|KTN1	chr14	55648069	55648089	+
4|sgPELI2_1|PELI2	chr14	56178432	56178452	-
4|sgPELI2_4|PELI2	chr14	56288599	56288619	-
4|sgPELI2_2|PELI2	chr14	56290341	56290361	+
4|sgPELI2_3|PELI2	chr14	56290409	56290429	+
4|sgTMEM260_2|TMEM260	chr14	56580043	56580063	+
4|sgTMEM260_3|TMEM260	chr14	56609187	56609207	+
4|sgTMEM260_1|TMEM260	chr14	56618637	56618657	-
4|sgTMEM260_4|TMEM260	chr14	56621600	56621620	+
4|sgOTX2_2|OTX2	chr14	56802056	56802076	+
4|sgOTX2_3|OTX2	chr14	56802140	56802160	+
4|sgOTX2_1|OTX2	chr14	56804196	56804216	-
4|sgOTX2_4|OTX2	chr14	56804297	56804317	-
4|sgEXOC5_2|EXOC5	chr14	57229810	57229830	-
4|sgEXOC5_1|EXOC5	chr14	57232668	57232688	-
4|sgEXOC5_4|EXOC5	chr14	57233989	57234009	-
4|sgEXOC5_3|EXOC5	chr14	57246797	57246817	-
4|sgAP5M1_1|AP5M1	chr14	57274415	57274435	+
4|sgAP5M1_2|AP5M1	chr14	57274522	57274542	-
4|sgAP5M1_3|AP5M1	chr14	57274823	57274843	+
4|sgAP5M1_4|AP5M1	chr14	57280316	57280336	+
4|sgNAA30_4|NAA30	chr14	57391124	57391144	+
4|sgNAA30_3|NAA30	chr14	57391213	57391233	+
4|sgNAA30_2|NAA30	chr14	57391348	57391368	-
4|sgNAA30_1|NAA30	chr14	57391537	57391557	-
4|sgC14orf105_1|C14orf105	chr14	57480655	57480675	-
4|sgC14orf105_3|C14orf105	chr14	57480693	57480713	-
4|sgC14orf105_2|C14orf105	chr14	57481560	57481580	-
4|sgC14orf105_4|C14orf105	chr14	57483107	57483127	+
4|sgSLC35F4_2|SLC35F4	chr14	57589258	57589278	+
4|sgSLC35F4_4|SLC35F4	chr14	57589422	57589442	-
4|sgSLC35F4_1|SLC35F4	chr14	57593988	57594008	-
4|sgSLC35F4_3|SLC35F4	chr14	57594090	57594110	-
1|Neg_Control_Human_GA_0153|NegCtrl	chr14	57672552	57672571	-
4|sgC14orf37_1|C14orf37	chr14	58133237	58133257	+
4|sgC14orf37_2|C14orf37	chr14	58138029	58138049	+
4|sgC14orf37_4|C14orf37	chr14	58138519	58138539	+
4|sgC14orf37_3|C14orf37	chr14	58139032	58139052	-
4|sgACTR10_4|ACTR10	chr14	58209025	58209045	-
4|sgACTR10_1|ACTR10	chr14	58211389	58211409	-
4|sgACTR10_2|ACTR10	chr14	58215275	58215295	-
4|sgACTR10_3|ACTR10	chr14	58223797	58223817	-
4|sgPSMA3_2|PSMA3	chr14	58247765	58247785	-
4|sgPSMA3_3|PSMA3	chr14	58247799	58247819	+
4|sgPSMA3_4|PSMA3	chr14	58252215	58252235	+
4|sgPSMA3_1|PSMA3	chr14	58261004	58261024	-
4|sgARID4A_3|ARID4A	chr14	58306090	58306110	+
4|sgARID4A_1|ARID4A	chr14	58351205	58351225	+
4|sgARID4A_4|ARID4A	chr14	58353737	58353757	+
4|sgARID4A_2|ARID4A	chr14	58360986	58361006	-
4|sgTOMM20L_2|TOMM20L	chr14	58395977	58395997	+
4|sgTOMM20L_3|TOMM20L	chr14	58396021	58396041	-
4|sgTOMM20L_4|TOMM20L	chr14	58396038	58396058	+
4|sgTOMM20L_1|TOMM20L	chr14	58396304	58396324	+
4|sgTIMM9_2|TIMM9	chr14	58409144	58409164	+
4|sgTIMM9_4|TIMM9	chr14	58410875	58410895	+
4|sgTIMM9_3|TIMM9	chr14	58410923	58410943	-
4|sgTIMM9_1|TIMM9	chr14	58411908	58411928	-
4|sgKIAA0586_4|KIAA0586	chr14	58442805	58442825	-
4|sgKIAA0586_3|KIAA0586	chr14	58450724	58450744	+
4|sgKIAA0586_1|KIAA0586	chr14	58465932	58465952	-
4|sgKIAA0586_2|KIAA0586	chr14	58470621	58470641	-
4|sgDACT1_2|DACT1	chr14	58640835	58640855	+
4|sgDACT1_3|DACT1	chr14	58645764	58645784	-
4|sgDACT1_1|DACT1	chr14	58646001	58646021	-
4|sgDACT1_4|DACT1	chr14	58646196	58646216	-
4|sgDAAM1_1|DAAM1	chr14	59315289	59315309	+
4|sgDAAM1_2|DAAM1	chr14	59324140	59324160	+
4|sgDAAM1_4|DAAM1	chr14	59326036	59326056	-
4|sgDAAM1_3|DAAM1	chr14	59340158	59340178	+
4|sgGPR135_1|GPR135	chr14	59464267	59464287	+
4|sgGPR135_2|GPR135	chr14	59464622	59464642	-
4|sgGPR135_3|GPR135	chr14	59464766	59464786	+
4|sgGPR135_4|GPR135	chr14	59465050	59465070	-
4|sgL3HYPDH_2|L3HYPDH	chr14	59479296	59479316	-
4|sgL3HYPDH_1|L3HYPDH	chr14	59483901	59483921	+
4|sgL3HYPDH_4|L3HYPDH	chr14	59484005	59484025	-
4|sgL3HYPDH_3|L3HYPDH	chr14	59484203	59484223	+
4|sgJKAMP_1|JKAMP	chr14	59495022	59495042	-
4|sgJKAMP_4|JKAMP	chr14	59495170	59495190	-
4|sgJKAMP_2|JKAMP	chr14	59498741	59498761	+
4|sgJKAMP_3|JKAMP	chr14	59498878	59498898	-
4|sgCCDC175_2|CCDC175	chr14	59538706	59538726	-
4|sgCCDC175_4|CCDC175	chr14	59563721	59563741	+
4|sgCCDC175_1|CCDC175	chr14	59565048	59565068	-
4|sgCCDC175_3|CCDC175	chr14	59572713	59572733	-
4|sgRTN1_1|RTN1	chr14	59605409	59605429	-
4|sgRTN1_2|RTN1	chr14	59607299	59607319	-
4|sgRTN1_3|RTN1	chr14	59607321	59607341	+
4|sgRTN1_4|RTN1	chr14	59607387	59607407	-
4|sgPCNXL4_1|PCNXL4	chr14	60115266	60115286	-
4|sgPCNXL4_2|PCNXL4	chr14	60116001	60116021	+
4|sgPCNXL4_4|PCNXL4	chr14	60118646	60118666	-
4|sgPCNXL4_3|PCNXL4	chr14	60124368	60124388	+
4|sgDHRS7_3|DHRS7	chr14	60152976	60152996	+
4|sgDHRS7_1|DHRS7	chr14	60153075	60153095	-
4|sgDHRS7_4|DHRS7	chr14	60153123	60153143	+
4|sgDHRS7_2|DHRS7	chr14	60156095	60156115	-
4|sgPPM1A_2|PPM1A	chr14	60282792	60282812	+
4|sgPPM1A_1|PPM1A	chr14	60282930	60282950	+
4|sgPPM1A_4|PPM1A	chr14	60283191	60283211	+
4|sgPPM1A_3|PPM1A	chr14	60283333	60283353	-
4|sgC14orf39_3|C14orf39	chr14	60461362	60461382	-
4|sgC14orf39_2|C14orf39	chr14	60469534	60469554	-
4|sgC14orf39_1|C14orf39	chr14	60471422	60471442	+
4|sgC14orf39_4|C14orf39	chr14	60483715	60483735	-
4|sgSIX6_1|SIX6	chr14	60509556	60509576	+
4|sgSIX6_4|SIX6	chr14	60509598	60509618	+
4|sgSIX6_2|SIX6	chr14	60509619	60509639	+
4|sgSIX6_3|SIX6	chr14	60509764	60509784	-
4|sgSIX1_3|SIX1	chr14	60648753	60648773	+
4|sgSIX1_2|SIX1	chr14	60648909	60648929	-
4|sgSIX1_1|SIX1	chr14	60649038	60649058	-
4|sgSIX1_4|SIX1	chr14	60649118	60649138	-
4|sgSIX4_4|SIX4	chr14	60720075	60720095	-
4|sgSIX4_2|SIX4	chr14	60720317	60720337	+
4|sgSIX4_1|SIX4	chr14	60723548	60723568	-
4|sgSIX4_3|SIX4	chr14	60723812	60723832	-
4|sgMNAT1_3|MNAT1	chr14	60796267	60796287	-
4|sgMNAT1_2|MNAT1	chr14	60798114	60798134	-
4|sgMNAT1_4|MNAT1	chr14	60808325	60808345	+
4|sgMNAT1_1|MNAT1	chr14	60818738	60818758	-
4|sgTRMT5_3|TRMT5	chr14	60976049	60976069	+
4|sgTRMT5_4|TRMT5	chr14	60979226	60979246	+
4|sgTRMT5_1|TRMT5	chr14	60979379	60979399	+
4|sgTRMT5_2|TRMT5	chr14	60979594	60979614	-
4|sgSLC38A6_3|SLC38A6	chr14	60982529	60982549	-
4|sgSLC38A6_4|SLC38A6	chr14	60982622	60982642	-
4|sgSLC38A6_2|SLC38A6	chr14	60984781	60984801	+
